--- output from CoordGen8
Specimen ID 	LM1_X 	LM1_Y 	LM2_X 	LM2_Y 	LM3_X 	LM3_Y 	LM4_X 	LM4_Y 	LM5_X 	LM5_Y 	LM6_X 	LM6_Y 	LM7_X 	LM7_Y 	LM8_X 	LM8_Y 	LM9_X 	LM9_Y 	LM10_X 	LM10_Y 	Centroid_Size
DIPalp20_d_2.jpg	0.114767	 0.324017	 -0.0816711	 0.329764	 0.0130825	 -0.0526901	 0.218308	 0.124236	 0.106311	 0.12476	 0.228566	 -0.250231	 -0.101045	 0.123376	 -0.265503	 0.120085	 -0.239352	 -0.288628	 0.00653654	 -0.554689	 723.443	  
DIPalp20_d_3.jpg	0.0843639	 0.322091	 -0.0923246	 0.325829	 0.00360154	 -0.0161811	 0.231597	 0.131761	 0.0785822	 0.12888	 0.218433	 -0.294725	 -0.0767867	 0.125955	 -0.225226	 0.130225	 -0.219868	 -0.279429	 -0.00237214	 -0.574407	 424.72	  
DIPalp20_d_4.jpg	0.0972189	 0.357209	 -0.0722895	 0.35839	 0.00180301	 -0.000262656	 0.198368	 0.106507	 0.0673173	 0.109168	 0.226216	 -0.303197	 -0.0841151	 0.109983	 -0.230937	 0.115225	 -0.203365	 -0.308036	 -0.000216711	 -0.544986	 442.484	  
DIPalp20_d_5.jpg	0.10567	 0.291529	 -0.0933432	 0.314104	 -0.00236192	 -0.0388917	 0.259529	 0.134447	 0.0931861	 0.125571	 0.228832	 -0.251969	 -0.0943022	 0.128946	 -0.260388	 0.13431	 -0.248665	 -0.269488	 0.011844	 -0.568558	 421.291	  
DIPalp29_d_1.jpg	0.093344	 0.33431	 -0.0935139	 0.339793	 0.00477954	 0.054303	 0.253473	 0.0788686	 0.0876617	 0.0934309	 0.265876	 -0.301074	 -0.0688671	 0.0938676	 -0.252875	 0.102037	 -0.303121	 -0.335636	 0.0132429	 -0.4599	 722.164	  
DIPalp29_d_2.jpg	0.0858298	 0.353923	 -0.0901986	 0.358772	 0.00707475	 0.0929507	 0.265283	 0.0737265	 0.080332	 0.0744175	 0.21192	 -0.304653	 -0.0790725	 0.0832128	 -0.248439	 0.0900805	 -0.244432	 -0.32401	 0.0117029	 -0.49842	 908.6	  
DIPalp29_d_3.jpg	0.0814867	 0.34929	 -0.0983146	 0.360216	 0.0110574	 0.0610499	 0.241411	 0.0729084	 0.0819195	 0.0857928	 0.266304	 -0.331788	 -0.0765806	 0.0891182	 -0.230514	 0.0828099	 -0.29346	 -0.303352	 0.01669	 -0.466045	 838.931	  
DIPalp29_d_4.jpg	0.100604	 0.343341	 -0.0885214	 0.335388	 -0.00483576	 0.0488193	 0.268419	 0.0864301	 0.085028	 0.0868053	 0.278528	 -0.296622	 -0.0841997	 0.0838972	 -0.279322	 0.0828953	 -0.27523	 -0.292031	 -0.000469041	 -0.478923	 850.799	  
DIPalp29_d_5.jpg	0.111232	 0.338441	 -0.075208	 0.334752	 0.0288557	 0.0349188	 0.276941	 0.0831867	 0.102125	 0.0828489	 0.249133	 -0.273474	 -0.116313	 0.0863754	 -0.302427	 0.0774486	 -0.305941	 -0.310567	 0.0316026	 -0.45393	 762.171	  
DIPalp2_d_1.jpg	0.0848592	 0.357088	 -0.0887168	 0.357817	 -0.00673475	 -0.0218298	 0.259535	 0.107773	 0.0837892	 0.102081	 0.202138	 -0.292718	 -0.0812062	 0.104917	 -0.254791	 0.103502	 -0.196354	 -0.269617	 -0.00251804	 -0.549014	 466.65	  
